"","param","2.5 %","97.5 %","method","estimate","code"
"94","thermal_tolerance",30.4214178155326,49.596,"case bootstrap",34.263,"wh2"
"95","breadth",7.33711155881855,10,"case bootstrap",7.997,"wh2"
"96","skewness",-0.817862991527149,0.31562518282276,"case bootstrap",-0.34373945537893,"wh2"
"97","rmax",4.36931376066943,4.86309080413042,"case bootstrap",4.65463212976764,"oy2"
"98","topt",26.76,30,"case bootstrap",30,"oy2"
"99","ctmin",-18.3420069982583,1.55347581888861,"case bootstrap",-1.905,"oy2"
"100","ctmax",34.7534151499181,48.4336247710297,"case bootstrap",37.649,"oy2"
"101","e",0.328144238557331,0.61986262946758,"case bootstrap",0.511876114151983,"oy2"
"102","thermal_safety_margin",6.050237313063,17.9465174525749,"case bootstrap",7.649,"oy2"
"103","thermal_tolerance",34.466869712709,69.1392155755349,"case bootstrap",39.554,"oy2"
"104","breadth",3.52186197169802,6.54562088097784,"case bootstrap",5.25,"oy2"
"105","rmax",3.89054748202041,4.53391903654208,"case bootstrap",4.2673530467248,"bf2"
"106","topt",27.8697054298618,30,"case bootstrap",29.283,"bf2"
"107","ctmin",-5.99987762236508,7.51885832183618,"case bootstrap",1.939,"bf2"
"108","ctmax",32.7693547793896,41.1240519987167,"case bootstrap",35.373,"bf2"
"109","e",0.456650992119344,0.870079730570466,"case bootstrap",0.661776319368576,"bf2"
"110","q10",2.23482309135944,2.67700882074518,"case bootstrap",2.39705895040582,"bf2"
"111","thermal_safety_margin",4.75698884085675,11.0623986695642,"case bootstrap",6.09,"bf2"
"112","thermal_tolerance",25.8619338430592,45.6421494395766,"case bootstrap",33.434,"bf2"
"113","breadth",3.74330019047059,6.92821431896062,"case bootstrap",5.546,"bf2"
"114","rmax",3.40978470188706,4.33239699922834,"case bootstrap",3.83904973540787,"fb2"
"115","topt",25.9697376491413,30,"case bootstrap",28.606,"fb2"
"116","ctmin",-23.6733749388918,2.83985555359579,"case bootstrap",-4.876,"fb2"
"117","ctmax",31.7774436180613,58.2368909934456,"case bootstrap",35.962,"fb2"
"118","e",0.207862517626666,0.74992713122928,"case bootstrap",0.486720389382127,"fb2"
"119","thermal_safety_margin",5.1199779192772,29.2420719568436,"case bootstrap",7.356,"fb2"
"120","thermal_tolerance",29.4048522472022,74.0985033874354,"case bootstrap",40.838,"fb2"
"121","breadth",4.47684159404729,9.556,"case bootstrap",7.16,"fb2"
"122","rmax",3.51784489427973,4.18872589751498,"case bootstrap",3.81268063870735,"sk2"
"123","topt",26.2496825032892,30,"case bootstrap",28,"sk2"
"124","ctmin",-15.1706447896728,4.39804290463651,"case bootstrap",-2.803,"sk2"
"125","ctmax",31.5536201272213,51.5966084142937,"case bootstrap",34.741,"sk2"
"126","e",0.186039663214118,0.697666882301347,"case bootstrap",0.484700370757585,"sk2"
"127","eh",-0.858279425486368,0.203655571747206,"case bootstrap",-0.239088940285466,"sk2"
"128","thermal_safety_margin",4.90583525066108,17.5044910350365,"case bootstrap",6.741,"sk2"
"129","thermal_tolerance",26.9263171676084,57.0605325691366,"case bootstrap",37.544,"sk2"
"130","breadth",5.0744526069402,9.50377626597638,"case bootstrap",7.246,"sk2"
"131","skewness",-0.0225927061625042,1.65766773275305,"case bootstrap",0.723789311043051,"sk2"
