numero,param,conf_lower,conf_upper,method,estimate,code,pop,bin
106,topt,27.95140373,30,case bootstrap,29.283,bf2,bf,2
107,ctmin,-6.281874879,6.846408361,case bootstrap,1.939,bf2,bf,2
108,ctmax,32.59381973,41.86940458,case bootstrap,35.373,bf2,bf,2
109,e,0.463044227,0.878759318,case bootstrap,0.661776319,bf2,bf,2
110,q10,2.232708972,2.704034366,case bootstrap,2.39705895,bf2,bf,2
111,thermal_safety_margin,4.316983027,13.84388336,case bootstrap,6.09,bf2,bf,2
112,thermal_tolerance,26.65505146,49.24675867,case bootstrap,33.434,bf2,bf,2
113,breadth,4.170927109,6.736,case bootstrap,5.546,bf2,bf,2
114,rmax,3.355449963,4.311445022,case bootstrap,3.839037907,fb2,fb,2
115,topt,25.79292695,30,case bootstrap,28.606,fb2,fb,2
116,ctmin,-24.67859435,2.639837095,case bootstrap,-4.877,fb2,fb,2
117,ctmax,31.01864094,48.03473043,case bootstrap,35.962,fb2,fb,2
118,e,0.247613893,0.784743228,case bootstrap,0.486720389,fb2,fb,2
119,thermal_safety_margin,3.927492144,22.05524225,case bootstrap,7.356,fb2,fb,2
120,thermal_tolerance,29.83550506,73.16276134,case bootstrap,40.839,fb2,fb,2
121,breadth,4.180683068,10.358,case bootstrap,7.16,fb2,fb,2
122,rmax,3.4422298,4.245209167,case bootstrap,3.812679001,sk2,sk,2
123,topt,25.87116834,30,case bootstrap,28,sk2,sk,2
124,ctmin,-14.15515114,5.128274209,case bootstrap,-2.803,sk2,sk,2
125,ctmax,31.68482842,47.64296247,case bootstrap,34.741,sk2,sk,2
126,e,0.073033901,0.752927893,case bootstrap,0.484700371,sk2,sk,2
127,eh,-0.868889399,0.100006778,case bootstrap,-0.23908894,sk2,sk,2
128,thermal_safety_margin,5.131533022,19.15153351,case bootstrap,6.741,sk2,sk,2
129,thermal_tolerance,27.74548448,60.94501939,case bootstrap,37.544,sk2,sk,2
130,breadth,5.242835933,10,case bootstrap,7.246,sk2,sk,2
