State,Collection.site,Shell.height,
NH,GB,30.05,6
NH,GB,20.05,6
NH,GB,30.08,6
NH,GB,23.36,6
NH,GB,18.66,6
NH,GB,33.3,6
NH,GB,26.71,6
NH,GB,24.16,6
NH,GB,25.26,6
NH,GB,19.82,6
NH,GB,,6
NH,GB,20.87,6
NH,GB,23.66,6
NH,GB,27.68,6
NH,GB,22.72,6
NH,GB,23.58,6
NH,GB,28.13,6
NH,GB,21.22,6
NH,GB,27.07,6
NH,GB,29.2,6
NH,GB,25.47,6
NH,GB,23.43,6
NH,GB,29.29,6
NH,GB,27.24,6
NH,GB,23.96,6
NH,GB,25.21,6
NH,GB,31.61,6
NH,GB,27.42,6
NH,GB,26.98,6
CA,TO,29.56,7
CA,TO,28.48,7
CA,TO,26.41,7
CA,TO,27.36,7
CA,TO,17.63,7
CA,TO,29.32,7
CA,TO,25.28,7
CA,TO,23.74,7
CA,TO,30.18,7
CA,TO,28.55,7
CA,TO,26.53,7
CA,TO,25.33,7
CA,TO,29.78,7
CA,TO,27.53,7
CA,TO,29.67,7
CA,TO,27.98,7
CA,TO,18.88,7
CA,TO,27.6,7
CA,TO,25.34,7
CA,TO,26.86,7
CA,TO,25.59,7
CA,TO,16.35,7
CA,TO,26.86,7
CA,TO,26.46,7
CA,TO,27.39,7
CA,TO,25.54,7
CA,TO,17.61,7
CA,TO,29.63,7
CA,TO,27.74,7
CA,TO,27.68,7
CA,TO,25.83,7
CA,TO,20.84,7
CA,TO,28.18,7
CA,TO,25.06,7
CA,TO,29.88,7
CA,TO,27.77,7
CA,TO,27.11,7
CA,TO,27.85,7
CA,TO,28.44,7
CA,TO,19.95,7
CA,TO,26.08,7
CA,TO,21.92,7
CA,TO,26.9,7
CA,TO,19.23,7
CA,TO,23.47,7
CA,TO,15.98,7
CA,TO,26.48,7
CA,TO,28.47,7
CA,TO,23.99,7
CA,TO,21.69,7
CA,TO,18.8,7
CA,HM,31.99,8
CA,HM,35.82,8
CA,HM,29.47,8
CA,HM,27.16,8
CA,HM,27.57,8
CA,HM,27.98,8
CA,HM,31.11,8
CA,HM,31.81,8
CA,HM,26.1,8
CA,HM,27.18,8
CA,HM,29.24,8
CA,HM,25.77,8
CA,HM,25.52,8
CA,HM,28.39,8
CA,HM,27.77,8
CA,HM,29.46,8
CA,HM,27.79,8
CA,HM,24.82,8
CA,HM,29.72,8
CA,HM,28.16,8
CA,HM,26.58,8
CA,HM,25,8
CA,HM,27.61,8
CA,HM,30.53,8
CA,HM,26.52,8
CA,HM,28.63,8
CA,HM,31.36,8
CA,HM,30.27,8
CA,HM,28.09,8
CA,HM,29.21,8
CA,HM,30.82,8
CA,HM,27.26,8
CA,HM,31.52,8
CA,HM,28.36,8
CA,HM,32.38,8
CA,HM,26.75,8
CA,HM,25.97,8
CA,HM,31.32,8
CA,HM,27.33,8
CA,HM,30.59,8
CA,HM,30.22,8
CA,HM,32,8
CA,HM,29.95,8
CA,HM,26.22,8
CA,HM,32.93,8
CA,HM,25.83,8
CA,HM,30.82,8
CA,HM,27.41,8
CA,HM,31.94,8
CA,HM,27.86,8
CA,HM,25.72,8
CA,HM,26.93,8
CA,HM,25.4,8
CA,HM,32.02,8
CA,HM,25.88,8
CA,HM,28.5,8
CA,HM,32.25,8
CA,HM,24.86,8
WA,WP,29.59,9
WA,WP,26.88,9
WA,WP,31.39,9
WA,WP,30.86,9
WA,WP,31.67,9
WA,WP,33.7,9
WA,WP,27.55,9
WA,WP,26.7,9
WA,WP,28.03,9
WA,WP,27.31,9
WA,WP,29.04,9
WA,WP,30.8,9
WA,WP,31.37,9
WA,WP,30.22,9
WA,WP,28.04,9
WA,WP,18.42,9
WA,WP,30.72,9
WA,WP,32.64,9
WA,WP,30.08,9
WA,WP,31.97,9
WA,WP,25.62,9
WA,WP,28.9,9
WA,WP,27.46,9
WA,WP,28.72,9
WA,WP,24,9
WA,WP,32.62,9
WA,WP,28.03,9
WA,WP,22.14,9
WA,WP,28.5,9
WA,WP,28.26,9
WA,WP,32.05,9
WA,WP,31.03,9
WA,WP,29.91,9
WA,WP,26.55,9
WA,WP,28.2,9
WA,WP,31.3,9
WA,WP,24.95,9
WA,WP,32.16,9
WA,WP,24.3,9
WA,WP,24.1,9
WA,WP,30.2,9
WA,WP,26.95,9
WA,WP,29.33,9
WA,WP,29.16,9
WA,WP,31.08,9
WA,WP,33.61,9
WA,WP,32.17,9
WA,WP,28.8,9
WA,WP,24.76,9
WA,WP,28.84,9
WA,WP,27.65,9
