WTMP,DateTimeStamp,site
14.1239,11/20/2018 22:39,to3
14.0123,11/20/2018 23:09,to3
13.9491,11/20/2018 23:39,to3
13.8279,11/21/2018 0:09,to3
13.8139,11/21/2018 0:39,to3
13.9338,11/21/2018 1:09,to3
14.0627,11/21/2018 1:39,to3
14.11,11/21/2018 2:09,to3
14.2852,11/21/2018 2:39,to3
14.2973,11/21/2018 3:09,to3
14.2699,11/21/2018 3:39,to3
14.2572,11/21/2018 4:09,to3
14.3996,11/21/2018 4:39,to3
14.1961,11/21/2018 5:09,to3
14.5697,11/21/2018 5:39,to3
14.5443,11/21/2018 6:09,to3
14.5738,11/21/2018 6:39,to3
14.6678,11/21/2018 7:09,to3
14.6686,11/21/2018 7:39,to3
14.6872,11/21/2018 8:09,to3
14.6431,11/21/2018 8:39,to3
14.5944,11/21/2018 9:09,to3
14.5374,11/21/2018 9:39,to3
14.0835,11/21/2018 10:09,to3
14.1776,11/21/2018 10:39,to3
14.0577,11/21/2018 11:09,to3
13.9876,11/21/2018 11:39,to3
14.1323,11/21/2018 12:09,to3
14.346,11/21/2018 12:39,to3
14.4063,11/21/2018 13:09,to3
14.3839,11/21/2018 13:39,to3
14.5414,11/21/2018 14:09,to3
14.5306,11/21/2018 14:39,to3
14.4378,11/21/2018 15:09,to3
14.4733,11/21/2018 15:39,to3
14.5531,11/21/2018 16:09,to3
14.6673,11/21/2018 16:39,to3
14.5097,11/21/2018 17:09,to3
14.6639,11/21/2018 17:39,to3
14.6298,11/21/2018 18:09,to3
14.6985,11/21/2018 18:39,to3
14.7083,11/21/2018 19:09,to3
14.7569,11/21/2018 19:39,to3
14.7582,11/21/2018 20:09,to3
14.7567,11/21/2018 20:39,to3
14.7727,11/21/2018 21:09,to3
14.7983,11/21/2018 21:39,to3
14.7211,11/21/2018 22:09,to3
14.7097,11/21/2018 22:39,to3
14.6442,11/21/2018 23:09,to3
14.6011,11/21/2018 23:39,to3
14.5171,11/22/2018 0:09,to3
14.4254,11/22/2018 0:39,to3
14.3393,11/22/2018 1:09,to3
14.5299,11/22/2018 1:39,to3
14.5538,11/22/2018 2:09,to3
14.586,11/22/2018 2:39,to3
14.5891,11/22/2018 3:09,to3
14.6231,11/22/2018 3:39,to3
14.6998,11/22/2018 4:09,to3
14.7646,11/22/2018 4:39,to3
14.7032,11/22/2018 5:09,to3
14.7878,11/22/2018 5:39,to3
14.8452,11/22/2018 6:09,to3
14.8519,11/22/2018 6:39,to3
14.774,11/22/2018 7:09,to3
14.7795,11/22/2018 7:39,to3
14.8008,11/22/2018 8:09,to3
14.8277,11/22/2018 8:39,to3
14.7016,11/22/2018 9:09,to3
14.7228,11/22/2018 9:39,to3
14.7294,11/22/2018 10:09,to3
14.7397,11/22/2018 10:39,to3
14.7395,11/22/2018 11:09,to3
14.7395,11/22/2018 11:39,to3
14.6831,11/22/2018 12:09,to3
14.6884,11/22/2018 12:39,to3
14.6764,11/22/2018 13:09,to3
14.7247,11/22/2018 13:39,to3
14.7427,11/22/2018 14:09,to3
14.8054,11/22/2018 14:39,to3
