WTMP,site,DateTimeStamp
11.4,hmi2,1/12/2018 12:31
11.38,hmi2,1/12/2018 13:01
11.37,hmi2,1/12/2018 13:16
11.36,hmi2,1/12/2018 13:31
11.37,hmi2,1/12/2018 13:46
11.38,hmi2,1/12/2018 14:16
11.39,hmi2,1/12/2018 14:31
11.41,hmi2,1/12/2018 14:46
11.42,hmi2,1/12/2018 15:01
11.42,hmi2,1/12/2018 15:31
11.43,hmi2,1/12/2018 15:46
11.4,hmi2,1/12/2018 16:01
11.42,hmi2,1/12/2018 16:16
11.43,hmi2,1/12/2018 16:46
11.41,hmi2,1/12/2018 17:01
11.42,hmi2,1/12/2018 17:16
11.43,hmi2,1/12/2018 17:31
11.77,hmi2,1/12/2018 18:01
11.68,hmi2,1/12/2018 18:16
11.66,hmi2,1/12/2018 18:31
11.68,hmi2,1/12/2018 18:46
11.77,hmi2,1/12/2018 19:16
11.83,hmi2,1/12/2018 19:31
11.82,hmi2,1/12/2018 19:46
11.83,hmi2,1/12/2018 20:01
11.86,hmi2,1/12/2018 20:31
11.85,hmi2,1/12/2018 20:46
11.84,hmi2,1/12/2018 21:01
11.82,hmi2,1/12/2018 21:16
11.87,hmi2,1/12/2018 21:46
11.84,hmi2,1/12/2018 22:01
11.7,hmi2,1/12/2018 22:16
11.72,hmi2,1/12/2018 22:31
11.81,hmi2,1/12/2018 23:01
11.86,hmi2,1/12/2018 23:16
11.81,hmi2,1/12/2018 23:31
11.78,hmi2,1/12/2018 23:46
11.78,hmi2,1/13/2018 0:01
11.65,hmi2,1/13/2018 1:16
11.53,hmi2,1/13/2018 2:31
11.57,hmi2,1/13/2018 3:46
11.62,hmi2,1/13/2018 5:01
11.59,hmi2,1/13/2018 6:16
11.45,hmi2,1/13/2018 7:31
11.47,hmi2,1/13/2018 8:46
11.57,hmi2,1/13/2018 10:01
11.71,hmi2,1/13/2018 11:16
11.67,hmi2,1/13/2018 12:31
11.72,hmi2,1/13/2018 13:46
11.63,hmi2,1/13/2018 15:01
11.63,hmi2,1/13/2018 16:16
11.6,hmi2,1/13/2018 17:31
11.65,hmi2,1/13/2018 18:46
11.75,hmi2,1/13/2018 20:01
11.77,hmi2,1/13/2018 21:16
11.78,hmi2,1/13/2018 22:31
11.78,hmi2,1/13/2018 23:46
11.74,hmi2,1/13/2018 0:16
11.69,hmi2,1/13/2018 0:31
11.67,hmi2,1/13/2018 0:46
11.67,hmi2,1/13/2018 1:01
11.61,hmi2,1/13/2018 1:31
11.57,hmi2,1/13/2018 1:46
11.55,hmi2,1/13/2018 2:01
11.53,hmi2,1/13/2018 2:16
11.53,hmi2,1/13/2018 2:46
11.53,hmi2,1/13/2018 3:01
11.54,hmi2,1/13/2018 3:16
11.55,hmi2,1/13/2018 3:31
11.58,hmi2,1/13/2018 4:01
11.59,hmi2,1/13/2018 4:16
11.6,hmi2,1/13/2018 4:31
11.61,hmi2,1/13/2018 4:46
11.59,hmi2,1/13/2018 5:16
11.62,hmi2,1/13/2018 5:31
11.62,hmi2,1/13/2018 5:46
11.62,hmi2,1/13/2018 6:01
11.46,hmi2,1/13/2018 6:31
11.48,hmi2,1/13/2018 6:46
11.47,hmi2,1/13/2018 7:01
11.45,hmi2,1/13/2018 7:16
11.46,hmi2,1/13/2018 7:46
11.44,hmi2,1/13/2018 8:01
11.44,hmi2,1/13/2018 8:16
11.44,hmi2,1/13/2018 8:31
11.45,hmi2,1/13/2018 9:01
11.48,hmi2,1/13/2018 9:16
11.49,hmi2,1/13/2018 9:31
11.5,hmi2,1/13/2018 9:46
11.59,hmi2,1/13/2018 10:16
11.62,hmi2,1/13/2018 10:31
11.66,hmi2,1/13/2018 10:46
11.69,hmi2,1/13/2018 11:01
11.7,hmi2,1/13/2018 11:31
11.82,hmi2,1/13/2018 11:46
11.74,hmi2,1/13/2018 12:01
11.67,hmi2,1/13/2018 12:16
11.67,hmi2,1/13/2018 12:46
11.67,hmi2,1/13/2018 13:01
11.92,hmi2,1/13/2018 13:16
11.71,hmi2,1/13/2018 13:31
11.71,hmi2,1/13/2018 14:01
11.7,hmi2,1/13/2018 14:16
11.68,hmi2,1/13/2018 14:31
11.65,hmi2,1/13/2018 14:46
11.61,hmi2,1/13/2018 15:16
11.61,hmi2,1/13/2018 15:31
11.64,hmi2,1/13/2018 15:46
11.63,hmi2,1/13/2018 16:01
11.62,hmi2,1/13/2018 16:31
11.61,hmi2,1/13/2018 16:46
11.61,hmi2,1/13/2018 17:01
11.61,hmi2,1/13/2018 17:16
11.63,hmi2,1/13/2018 17:46
11.6,hmi2,1/13/2018 18:01
11.6,hmi2,1/13/2018 18:16
11.61,hmi2,1/13/2018 18:31
11.67,hmi2,1/13/2018 19:01
11.73,hmi2,1/13/2018 19:16
11.86,hmi2,1/13/2018 19:31
11.79,hmi2,1/13/2018 19:46
11.79,hmi2,1/13/2018 20:16
11.82,hmi2,1/13/2018 20:31
11.81,hmi2,1/13/2018 20:46
11.79,hmi2,1/13/2018 21:01
11.78,hmi2,1/13/2018 21:31
11.78,hmi2,1/13/2018 21:46
11.75,hmi2,1/13/2018 22:01
11.75,hmi2,1/13/2018 22:16
11.77,hmi2,1/13/2018 22:46
11.77,hmi2,1/13/2018 23:01
11.78,hmi2,1/13/2018 23:16
11.79,hmi2,1/13/2018 23:31
11.75,hmi2,1/14/2018 1:01
11.63,hmi2,1/14/2018 2:16
11.59,hmi2,1/14/2018 3:31
11.61,hmi2,1/14/2018 4:46
11.55,hmi2,1/14/2018 6:01
11.39,hmi2,1/14/2018 7:16
11.3,hmi2,1/14/2018 8:31
11.34,hmi2,1/14/2018 9:46
11.48,hmi2,1/14/2018 11:01
11.56,hmi2,1/14/2018 12:16
11.61,hmi2,1/14/2018 13:31
11.54,hmi2,1/14/2018 14:46
11.43,hmi2,1/14/2018 16:01
11.48,hmi2,1/14/2018 17:16
11.48,hmi2,1/14/2018 18:31
11.43,hmi2,1/14/2018 19:46
11.57,hmi2,1/14/2018 21:01
11.55,hmi2,1/14/2018 22:16
11.49,hmi2,1/14/2018 23:31
11.77,hmi2,1/14/2018 0:01
11.77,hmi2,1/14/2018 0:16
11.78,hmi2,1/14/2018 0:31
11.76,hmi2,1/14/2018 0:46
11.75,hmi2,1/14/2018 1:16
11.69,hmi2,1/14/2018 1:31
11.66,hmi2,1/14/2018 1:46
11.67,hmi2,1/14/2018 2:01
11.61,hmi2,1/14/2018 2:31
11.58,hmi2,1/14/2018 2:46
11.58,hmi2,1/14/2018 3:01
11.58,hmi2,1/14/2018 3:16
11.59,hmi2,1/14/2018 3:46
11.62,hmi2,1/14/2018 4:01
11.63,hmi2,1/14/2018 4:16
11.62,hmi2,1/14/2018 4:31
11.59,hmi2,1/14/2018 5:01
11.6,hmi2,1/14/2018 5:16
11.59,hmi2,1/14/2018 5:31
11.59,hmi2,1/14/2018 5:46
11.56,hmi2,1/14/2018 6:16
11.58,hmi2,1/14/2018 6:31
11.54,hmi2,1/14/2018 6:46
11.3,hmi2,1/14/2018 7:01
11.33,hmi2,1/14/2018 7:31
11.36,hmi2,1/14/2018 7:46
11.31,hmi2,1/14/2018 8:01
11.26,hmi2,1/14/2018 8:16
11.3,hmi2,1/14/2018 8:46
11.31,hmi2,1/14/2018 9:01
11.31,hmi2,1/14/2018 9:16
11.31,hmi2,1/14/2018 9:31
11.33,hmi2,1/14/2018 10:01
11.36,hmi2,1/14/2018 10:16
11.4,hmi2,1/14/2018 10:31
11.41,hmi2,1/14/2018 10:46
11.48,hmi2,1/14/2018 11:16
11.54,hmi2,1/14/2018 11:31
11.6,hmi2,1/14/2018 11:46
11.6,hmi2,1/14/2018 12:01
11.57,hmi2,1/14/2018 12:31
11.57,hmi2,1/14/2018 12:46
11.64,hmi2,1/14/2018 13:01
11.64,hmi2,1/14/2018 13:16
11.59,hmi2,1/14/2018 13:46
11.56,hmi2,1/14/2018 14:01
11.54,hmi2,1/14/2018 14:16
11.53,hmi2,1/14/2018 14:31
11.57,hmi2,1/14/2018 15:01
11.51,hmi2,1/14/2018 15:16
11.49,hmi2,1/14/2018 15:31
11.47,hmi2,1/14/2018 15:46
11.44,hmi2,1/14/2018 16:16
11.44,hmi2,1/14/2018 16:31
11.46,hmi2,1/14/2018 16:46
11.48,hmi2,1/14/2018 17:01
11.49,hmi2,1/14/2018 17:31
11.49,hmi2,1/14/2018 17:46
11.49,hmi2,1/14/2018 18:01
11.49,hmi2,1/14/2018 18:16
11.48,hmi2,1/14/2018 18:46
11.48,hmi2,1/14/2018 19:01
11.48,hmi2,1/14/2018 19:16
11.48,hmi2,1/14/2018 19:31
11.42,hmi2,1/14/2018 20:01
11.38,hmi2,1/14/2018 20:16
11.41,hmi2,1/14/2018 20:31
11.47,hmi2,1/14/2018 20:46
11.54,hmi2,1/14/2018 21:16
11.54,hmi2,1/14/2018 21:31
11.5,hmi2,1/14/2018 21:46
11.5,hmi2,1/14/2018 22:01
11.56,hmi2,1/14/2018 22:31
11.51,hmi2,1/14/2018 22:46
11.5,hmi2,1/14/2018 23:01
11.48,hmi2,1/14/2018 23:16
11.47,hmi2,1/14/2018 23:46
11.48,hmi2,1/15/2018 0:46
11.48,hmi2,1/15/2018 2:01
11.46,hmi2,1/15/2018 3:16
11.55,hmi2,1/15/2018 4:31
11.6,hmi2,1/15/2018 5:46
11.6,hmi2,1/15/2018 7:01
11.46,hmi2,1/15/2018 8:16
11.46,hmi2,1/15/2018 9:31
11.48,hmi2,1/15/2018 10:46
11.67,hmi2,1/15/2018 12:01
11.69,hmi2,1/15/2018 13:16
11.65,hmi2,1/15/2018 14:31
11.57,hmi2,1/15/2018 15:46
11.54,hmi2,1/15/2018 17:01
11.5,hmi2,1/15/2018 18:16
11.5,hmi2,1/15/2018 19:31
11.54,hmi2,1/15/2018 20:46
11.48,hmi2,1/15/2018 22:01
11.46,hmi2,1/15/2018 23:16
11.48,hmi2,1/15/2018 0:01
11.48,hmi2,1/15/2018 0:16
11.46,hmi2,1/15/2018 0:31
11.5,hmi2,1/15/2018 1:01
11.48,hmi2,1/15/2018 1:16
11.48,hmi2,1/15/2018 1:31
11.48,hmi2,1/15/2018 1:46
11.47,hmi2,1/15/2018 2:16
11.46,hmi2,1/15/2018 2:31
11.45,hmi2,1/15/2018 2:46
11.46,hmi2,1/15/2018 3:01
11.47,hmi2,1/15/2018 3:31
11.47,hmi2,1/15/2018 3:46
11.5,hmi2,1/15/2018 4:01
11.51,hmi2,1/15/2018 4:16
11.6,hmi2,1/15/2018 4:46
11.61,hmi2,1/15/2018 5:01
11.61,hmi2,1/15/2018 5:16
11.61,hmi2,1/15/2018 5:31
11.6,hmi2,1/15/2018 6:01
11.6,hmi2,1/15/2018 6:16
11.61,hmi2,1/15/2018 6:31
11.57,hmi2,1/15/2018 6:46
11.6,hmi2,1/15/2018 7:16
11.61,hmi2,1/15/2018 7:31
11.49,hmi2,1/15/2018 7:46
11.53,hmi2,1/15/2018 8:01
11.49,hmi2,1/15/2018 8:31
11.48,hmi2,1/15/2018 8:46
11.46,hmi2,1/15/2018 9:01
11.46,hmi2,1/15/2018 9:16
11.45,hmi2,1/15/2018 9:46
11.46,hmi2,1/15/2018 10:01
11.45,hmi2,1/15/2018 10:16
11.46,hmi2,1/15/2018 10:31
11.53,hmi2,1/15/2018 11:01
11.55,hmi2,1/15/2018 11:16
11.59,hmi2,1/15/2018 11:31
11.66,hmi2,1/15/2018 11:46
11.71,hmi2,1/15/2018 12:16
11.69,hmi2,1/15/2018 12:31
11.74,hmi2,1/15/2018 12:46
11.7,hmi2,1/15/2018 13:01
11.67,hmi2,1/15/2018 13:31
11.65,hmi2,1/15/2018 13:46
11.65,hmi2,1/15/2018 14:01
11.65,hmi2,1/15/2018 14:16
11.63,hmi2,1/15/2018 14:46
11.62,hmi2,1/15/2018 15:01
11.59,hmi2,1/15/2018 15:16
11.58,hmi2,1/15/2018 15:31
11.56,hmi2,1/15/2018 16:01
11.56,hmi2,1/15/2018 16:16
11.55,hmi2,1/15/2018 16:31
11.54,hmi2,1/15/2018 16:46
11.53,hmi2,1/15/2018 17:16
11.52,hmi2,1/15/2018 17:31
11.51,hmi2,1/15/2018 17:46
11.51,hmi2,1/15/2018 18:01
11.5,hmi2,1/15/2018 18:31
11.5,hmi2,1/15/2018 18:46
11.5,hmi2,1/15/2018 19:01
