,rdate,sap
295,10/22/2014,22.021875
296,10/23/2014,21.096875
297,10/24/2014,20.73854167
298,10/25/2014,20.66145833
299,10/26/2014,20.94791667
300,10/27/2014,21.66041667
301,10/28/2014,NA
302,10/29/2014,23.14479167
303,10/30/2014,23.29791667
304,10/31/2014,22.63125
305,11/1/2014,19.54166667
306,11/2/2014,17.0375
307,11/3/2014,16.34166667
308,11/4/2014,16.33229167
309,11/5/2014,17.13020833
310,11/6/2014,18.15520833
311,11/7/2014,18.16770833
312,11/8/2014,17.48125
313,11/9/2014,17.39270833
314,11/10/2014,17.20208333
315,11/11/2014,17.34583333
316,11/12/2014,17.93645833
317,11/13/2014,18.38125
318,11/14/2014,17.453125
319,11/15/2014,15.49375
320,11/16/2014,14.76354167
321,11/17/2014,15.74895833
322,11/18/2014,14.41041667
323,11/19/2014,12.40416667
324,11/20/2014,11.75208333
325,11/21/2014,11.86666667
326,11/22/2014,12.76666667
327,11/23/2014,14.24270833
328,11/24/2014,NA
329,11/25/2014,17.06145833
330,11/26/2014,16.60416667
331,11/27/2014,15.23645833
332,11/28/2014,13.84583333
333,11/29/2014,13.43541667
334,11/30/2014,13.66041667
335,12/1/2014,14.29895833
336,12/2/2014,15.02604167
337,12/3/2014,15.559375
338,12/4/2014,15.84479167
339,12/5/2014,16.08541667
340,12/6/2014,16.27916667
341,12/7/2014,16.2125
342,12/8/2014,14.68541667
343,12/9/2014,13.71666667
344,12/10/2014,13.040625
345,12/11/2014,12.60520833
346,12/12/2014,12.28020833
347,12/13/2014,12.21666667
348,12/14/2014,12.27916667
349,12/15/2014,12.3
350,12/16/2014,12.39375
351,12/17/2014,12.61354167
352,12/18/2014,12.446875
353,12/19/2014,12.38854167
354,12/20/2014,12.57395833
355,12/21/2014,12.521875
356,12/22/2014,12.35104167
357,12/23/2014,NA
358,12/24/2014,14.33541667
359,12/25/2014,14.88958333
360,12/26/2014,14.1875
361,12/27/2014,14.45
362,12/28/2014,15.290625
363,12/29/2014,16.29270833
364,12/30/2014,16.56145833
365,12/31/2014,15.10625
