WTMP,DateTimeStamp,site
30.3,6/25/2018 19:48,fb
30.3,6/25/2018 19:54,fb
30.3,6/25/2018 20:06,fb
30.3,6/25/2018 20:12,fb
30.3,6/26/2018 16:30,fb
30.3,6/26/2018 16:42,fb
30.3,6/26/2018 20:18,fb
30.3,6/26/2018 20:30,fb
30.3,6/26/2018 20:42,fb
30.3,6/27/2018 17:24,fb
30.3,6/27/2018 18:06,fb
30.3,6/28/2018 21:06,fb
30.3,6/29/2018 19:30,fb
30.3,6/29/2018 20:18,fb
30.3,6/29/2018 21:48,fb
30.3,6/29/2018 22:30,fb
30.3,6/30/2018 19:36,fb
30.3,6/30/2018 20:42,fb
30.3,6/30/2018 22:00,fb
30.3,6/30/2018 22:06,fb
30.3,6/30/2018 23:18,fb
30.3,6/30/2018 23:24,fb
30.3,6/30/2018 23:30,fb
30.3,6/30/2018 23:36,fb
30.3,6/30/2018 23:42,fb
30.3,7/1/2018 19:12,fb
30.3,7/1/2018 19:30,fb
30.3,7/1/2018 20:30,fb
30.3,7/1/2018 23:54,fb
30.3,7/2/2018 1:18,fb
30.3,7/2/2018 1:24,fb
30.3,7/2/2018 1:42,fb
30.3,7/2/2018 1:48,fb
30.3,7/2/2018 1:54,fb
30.3,7/2/2018 21:36,fb
30.3,7/2/2018 21:42,fb
30.3,7/2/2018 21:48,fb
30.3,7/3/2018 1:06,fb
30.3,7/3/2018 1:12,fb
30.3,7/3/2018 1:18,fb
30.3,7/3/2018 1:24,fb
30.3,7/3/2018 1:30,fb
30.3,7/3/2018 1:36,fb
30.3,7/3/2018 1:42,fb
30.3,7/3/2018 1:48,fb
30.3,7/3/2018 19:06,fb
30.3,7/3/2018 19:12,fb
30.3,7/3/2018 19:18,fb
30.3,7/3/2018 19:24,fb
30.3,7/3/2018 19:48,fb
30.3,7/3/2018 20:06,fb
30.3,7/3/2018 20:42,fb
30.3,7/3/2018 20:48,fb
30.3,7/3/2018 21:30,fb
30.3,7/3/2018 23:42,fb
30.3,7/3/2018 23:48,fb
30.3,7/4/2018 0:00,fb
30.3,7/4/2018 0:06,fb
30.3,7/4/2018 0:12,fb
30.3,7/4/2018 0:18,fb
30.3,7/4/2018 0:24,fb
30.3,7/4/2018 0:30,fb
30.3,7/4/2018 0:36,fb
30.3,7/4/2018 0:42,fb
30.3,7/4/2018 0:48,fb
30.3,7/4/2018 1:00,fb
30.3,7/4/2018 1:06,fb
30.3,7/4/2018 1:12,fb
30.3,7/4/2018 1:18,fb
30.3,7/4/2018 1:24,fb
30.3,7/4/2018 1:30,fb
30.3,7/4/2018 1:36,fb
30.3,7/4/2018 1:48,fb
30.3,7/4/2018 1:54,fb
30.3,7/4/2018 2:00,fb
30.3,7/4/2018 2:06,fb
30.3,7/4/2018 2:12,fb
30.3,7/4/2018 3:00,fb
30.3,7/4/2018 3:06,fb
30.3,7/4/2018 3:12,fb
30.3,7/4/2018 3:18,fb
30.3,7/4/2018 3:24,fb
30.3,7/5/2018 0:30,fb
30.3,7/5/2018 16:12,fb
30.3,7/5/2018 16:18,fb
30.3,7/5/2018 16:48,fb
30.3,7/5/2018 19:36,fb
30.3,7/5/2018 19:42,fb
30.3,7/5/2018 20:30,fb
30.3,7/5/2018 20:36,fb
30.3,7/5/2018 20:42,fb
30.3,7/5/2018 20:54,fb
30.3,7/5/2018 21:00,fb
30.3,7/5/2018 21:06,fb
30.3,7/5/2018 21:12,fb
30.3,7/5/2018 21:18,fb
30.3,7/5/2018 21:24,fb
30.3,7/5/2018 21:42,fb
30.3,7/5/2018 21:48,fb
30.3,7/5/2018 21:54,fb
30.3,7/5/2018 22:00,fb
30.3,7/5/2018 22:06,fb
30.3,7/5/2018 22:12,fb
30.3,7/5/2018 22:18,fb
30.3,7/5/2018 22:24,fb
30.3,7/6/2018 3:12,fb
30.3,7/6/2018 3:18,fb
30.3,7/6/2018 3:24,fb
30.3,7/6/2018 18:12,fb
30.3,7/6/2018 18:18,fb
30.3,7/6/2018 21:30,fb
30.3,7/6/2018 23:24,fb
30.3,7/7/2018 4:36,fb
30.3,7/7/2018 4:42,fb
30.3,7/7/2018 4:48,fb
30.3,7/7/2018 4:54,fb
30.3,7/7/2018 5:00,fb
30.3,7/7/2018 5:06,fb
30.3,7/7/2018 5:12,fb
30.3,7/7/2018 5:42,fb
30.3,7/7/2018 5:48,fb
30.3,7/7/2018 5:54,fb
30.3,7/7/2018 6:00,fb
30.3,7/7/2018 6:06,fb
30.3,7/7/2018 6:12,fb
30.3,7/7/2018 6:18,fb
30.3,7/7/2018 6:24,fb
30.3,7/7/2018 6:30,fb
30.3,7/7/2018 6:36,fb
30.3,7/7/2018 6:42,fb
30.3,7/7/2018 6:48,fb
30.3,7/7/2018 6:54,fb
30.3,7/7/2018 7:00,fb
30.3,7/7/2018 7:06,fb
30.3,7/7/2018 7:12,fb
30.3,7/7/2018 7:24,fb
30.3,7/7/2018 15:18,fb
30.3,7/7/2018 15:24,fb
30.3,7/7/2018 15:30,fb
30.3,7/7/2018 15:42,fb
30.3,7/7/2018 15:48,fb
30.3,7/7/2018 15:54,fb
30.3,7/7/2018 16:00,fb
30.3,7/7/2018 16:06,fb
30.3,7/7/2018 16:12,fb
30.3,7/7/2018 16:18,fb
30.3,7/7/2018 19:30,fb
30.3,7/7/2018 19:36,fb
30.3,7/7/2018 19:42,fb
30.3,7/7/2018 19:48,fb
30.3,7/7/2018 19:54,fb
30.3,7/7/2018 20:00,fb
30.3,7/7/2018 20:06,fb
30.3,7/7/2018 20:12,fb
30.3,7/7/2018 20:18,fb
30.3,7/7/2018 20:24,fb
30.3,7/7/2018 20:30,fb
30.3,7/7/2018 20:36,fb
30.3,7/7/2018 20:42,fb
30.3,7/7/2018 20:48,fb
30.3,7/7/2018 20:54,fb
30.3,7/7/2018 21:00,fb
30.3,7/7/2018 21:06,fb
30.3,7/7/2018 21:12,fb
30.3,7/7/2018 21:18,fb
30.3,7/7/2018 21:24,fb
30.3,7/7/2018 21:30,fb
30.3,7/7/2018 21:36,fb
30.3,7/7/2018 21:42,fb
30.3,7/7/2018 21:48,fb
30.3,7/7/2018 21:54,fb
30.3,7/8/2018 3:42,fb
30.3,7/8/2018 3:48,fb
30.3,7/8/2018 3:54,fb
30.3,7/8/2018 4:00,fb
30.3,7/11/2018 18:42,fb
30.3,7/11/2018 18:48,fb
30.3,7/11/2018 18:54,fb
30.3,7/11/2018 19:00,fb
30.3,7/12/2018 18:30,fb
30.3,7/12/2018 21:24,fb
